Scrip Code,COMPANY,ISIN No.,Close Price
500469,Federal Bank Ltd,INE171A01029,151.25
541557,Fine Organic Industries Ltd,INE686Y01026,4739.05
500144,Finolex Cables Ltd,INE235A01022,1054.45
500940,Finolex Industries Ltd,INE183A01024,241.15
532809,Firstsource Solutions Ltd,INE684F01012,209.9
543663,Five-Star Business Finance Ltd,INE128S01021,732.65
532843,Fortis Healthcare Ltd.,INE061F01013,421.3
543384,FSN E-Commerce Ventures Ltd,INE388Y01029,187.6
543317,G R Infraprojects Ltd,INE201P01022,1128.95
532155,Gail India Ltd,INE129A01019,162.4
540935,Galaxy Surfactants Ltd,INE600K01018,2858.45
509557,Garware Technical Fibres Ltd,INE276A01018,3460.3
540755,General Insurance Corporation of India,INE481Y01014,305.3
507815,Gillette India Ltd,INE322A01010,6760.25
543245,Gland Pharma Ltd,INE068V01023,1962.55
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,2256.8
532296,Glenmark Pharmaceuticals Ltd,INE935A01035,868.9
543654,Global Health Ltd,INE474Q01031,1020.7
505255,GMM Pfaudler Limited,INE541A01023,1564
532754,GMR Airports Infrastructure Ltd,INE776C01039,84.03
500163,Godfrey Phillips India Ltd,INE260B01028,2198.65
540743,Godrej Agrovet Ltd,INE850D01014,561.85
532424,Godrej Consumer Products Ltd,INE102D01028,1155.45
500164,Godrej Industries Ltd,INE233A01035,832
533150,Godrej Properties Ltd,INE484J01027,2274.1
532482,Granules India Ltd,INE101D01020,409.65
509488,Graphite India Ltd.,INE371A01025,555.05
500300,Grasim Industries Ltd,INE047A01021,2111.7
500620,Great Eastern Shipping Co Ltd/The,INE017A01032,960.45
506076,Grindwell Norton Ltd,INE536A01023,2331.3
530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,778.8
524226,Gujarat Ambuja Exports Ltd,INE036B01030,354.25
542812,Gujarat Fluorochemicals Ltd,INE09N301011,3483.5
539336,Gujarat Gas Ltd,INE844O01030,534.5
500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,763.5
533248,Gujarat Pipavav Port Ltd,INE517F01014,165.65
500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,287.95
532702,Gujarat State Petronet Ltd,INE246F01010,321.9
543227,Happiest Minds Technologies Ltd,INE419U01012,923.45
531531,Hatsun Agro Products Ltd,INE473B01035,1107.85
517354,Havells India Ltd,INE176B01034,1431.75
532281,HCL Technologies Ltd,INE860A01027,1543
541729,HDFC Asset Management Company Ltd,INE127D01025,3454.95
500180,HDFC Bank Ltd,INE040A01034,1639.55
540777,HDFC Life Insurance Company Ltd,INE795G01014,637.55
509631,HEG Ltd,INE545A01016,1839.3
500182,Hero MotoCorp Ltd,INE158A01026,4384.15
500183,HFCL Ltd,INE548A01028,87.68
500440,Hindalco Industries Ltd,INE038A01020,581.45
541154,Hindustan Aeronautics Ltd,INE066F01020,3001.75
513599,Hindustan Copper,INE531E01026,262.5
500104,Hindustan Petroleum Corp Ltd,INE094A01015,450.1
500696,Hindustan Unilever Ltd,INE030A01027,2545.25
500188,Hindustan Zinc Ltd,INE267A01025,316.55
543187,Hitachi Energy India Ltd,INE07Y701011,5917.8
522215,HLE Glascoat Ltd,INE461D01028,556.75
543259,Home First Finance Company India Ltd,INE481N01025,976.2
517174,Honeywell Automation India Ltd,INE671A01010,36735.75
540530,Housing and Urban Development Corporation Ltd,INE031A01017,126.65
532174,ICICI Bank Ltd,INE090A01021,1003.85
540716,ICICI Lombard General Insurance Company Ltd,INE765G01017,1394.65
540133,ICICI Prudential Life Insurance Company Ltd,INE726G01019,530
541179,ICICI Securities Ltd,INE763G01038,770.65
500116,IDBI Bank Ltd,INE008A01015,68.81
539437,IDFC First Bank Ltd,INE092T01019,87.18
532659,IDFC Limited,INE043D01016,124.85
532636,IIFL Finance Ltd,INE530B01024,647.35
530005,India Cements Ltd,INE383A01012,258.25
535789,Indiabulls Housing Finance Limited,INE148I01020,221.65
542726,Indiamart Intermesh Limited,INE933S01016,2593.7
532814,Indian Bank,INE562A01011,433.15
540750,Indian Energy Exchange Ltd,INE022Q01020,164.35
500850,Indian Hotels Co Ltd,INE053A01029,461.8
530965,Indian Oil Corp Ltd,INE242A01010,135.25
532388,Indian Overseas Bank,INE565A01014,43.92
542830,Indian Railway Catering and Tourism Corporation Ltd,INE335Y01020,951.3
543257,Indian Railway Finance Corporation Limited,INE053F01010,113.38
543258,Indigo Paints Ltd,INE09VQ01012,1485.75
532514,Indraprastha Gas Ltd,INE203G01027,428
534816,Indus Towers Ltd,INE121J01017,216.35
532187,IndusInd Bank Ltd,INE095A01012,1673.3
539807,Infibeam Avenues Ltd,INE483S01020,26.55
532777,Info Edge (India) Ltd.,INE663F01024,5307.25
500209,Infosys Ltd,INE009A01021,1612.2
500210,Ingersoll-Rand (India) Ltd,INE177A01018,3168.2
538835,Intellect Design Arena Ltd.,INE306R01017,816.6
539448,InterGlobe Aviation Ltd,INE646L01027,3072.2
524494,Ipca Laboratories Ltd,INE571A01038,1135.7
532947,IRB Infrastructure Developers Ltd,INE821I01022,46.03
541956,IRCON International Ltd,INE962Y01021,195.05
500875,ITC Ltd,INE154A01025,466.6
523610,ITI Ltd,INE248A01017,305.8
506943,J.B.Chemicals & Pharmaceuticals Ltd.,INE572A01036,1681.95
532644,J.K. Cement Ltd.,INE823G01014,4047.45
520051,Jamna Auto Industries Ltd,INE039C01032,113.85
532605,JBM Auto Components Ltd,INE927D01044,1880.5
500378,Jindal SAW Ltd,INE324A01024,488.85
532508,Jindal Stainless Ltd.,INE220G01021,609.95
532286,Jindal Steel & Power Ltd,INE749A01030,735.7
531543,Jindal Worldwide Ltd.,INE247D01039,301.55
500380,JK Lakshmi Cement Ltd,INE786A01032,870.3
532162,JK Paper Ltd.,INE789E01012,393.65
523405,JM Financial Ltd,INE780C01023,101.31
533148,JSW Energy Ltd,INE121E01018,483.5
500228,JSW Steel Ltd,INE019A01038,825.35
