SYMBOL,UNDERLYING ASSET,OPEN,HIGH,LOW,PREV.CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,NAV,52W H,52W L,30D %CHNG,365 D,365 D %CHNG,30 D
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,22.95,22.95,22.59,22.47,22.67,0.20,0.89,11,918,0.03,22.44,23.50,15.21,-,-,-,-
COMMOIETF,ICICI Prudential Nifty Commodities ETF,77.91,77.98,76.87,76.51,77.18,0.67,0.88,4,010,0.03,76.39,79.17,53.75,-,-,-,-
BFSI,Nifty Financial Services Index,21.17,21.17,20.80,20.67,20.85,0.18,0.87,1,08,579,0.23,20.65,22.45,17.35,-5.14,-,-,19-Dec-2023
MONQ50,Nasdaq Q-50 Total Return Index,57.97,58.00,57.02,57.28,57.78,0.50,0.87,12,146,0.07,55.78,58.90,51.36,0.92,18-Jan-2023,7.29,19-Dec-2023
HDFCMID150,HDFC NIFTY Midcap 150 ETF,17.79,17.79,17.49,17.48,17.63,0.15,0.86,38,989,0.07,17.46,18.21,11.07,3.31,-,-,19-Dec-2023
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF,111.57,112.33,111.35,110.85,111.80,0.95,0.86,833,0.01,110.87,112.33,83.30,3.08,18-Jan-2023,26.82,19-Dec-2023
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF,28.49,28.49,27.87,27.85,28.09,0.24,0.86,20,760,0.06,27.75,28.75,17.72,1.68,18-Jan-2023,-85.36,19-Dec-2023
CONSUMBEES,Nifty India Consumption TRI,105.95,105.95,104.59,104.39,105.28,0.89,0.85,4,160,0.04,104.21,107.05,76.53,2.3,18-Jan-2023,27.37,19-Dec-2023
IDFNIFTYET,Nifty 50,233.09,233.09,231.51,231.14,233.09,1.95,0.84,67,-,230.24,254.96,176.00,0.32,18-Jan-2023,19.34,19-Dec-2023
MOM100,Nifty Midcap 100,50.75,51.50,50.34,50.28,50.70,0.42,0.84,99,395,0.50,50.15,52.50,30.89,3.56,18-Jan-2023,50.76,19-Dec-2023
ITBEES,Nifty IT TRI,38.74,39.43,38.74,38.76,39.08,0.32,0.83,19,92,692,7.82,38.81,40.00,27.56,3.66,18-Jan-2023,25.97,19-Dec-2023
NEXT50IETF,Nifty Next 50,57.65,57.65,55.57,55.95,56.41,0.46,0.82,16,898,0.10,55.84,58.60,37.10,-,-,-,-
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index,56.10,56.53,56.08,56.03,56.49,0.46,0.82,7,993,0.05,55.85,58.00,35.53,1.16,18-Jan-2023,45.16,19-Dec-2023
DSPPSBKETF,DSP Nifty PSU Bank ETF,59.05,59.34,58.82,58.65,59.13,0.48,0.82,2,960,0.02,58.61,66.00,43.92,1.73,-,-,19-Dec-2023
DSPITETF,DSP Nifty IT ETF,37.34,37.58,37.30,37.00,37.30,0.30,0.81,17,305,0.06,36.98,39.40,29.00,3.47,-,-,19-Dec-2023
HDFCSENSEX,SENSEX,791.97,793.09,787.84,784.52,790.87,6.35,0.81,618,0.05,783.68,818.25,622.00,-0.11,-,-,19-Dec-2023
DSPGOLDETF,DSP Gold ETF,61.60,62.15,61.00,61.46,61.95,0.49,0.80,157,-,61.51,71.70,55.00,-0.47,-,-,19-Dec-2023
KOTAKCONS,Kotak Nifty India Consumption ETF,96.11,96.82,96.11,95.96,96.72,0.76,0.79,117,-,95.71,100.20,69.42,2.74,18-Jan-2023,27.47,19-Dec-2023
NIF100IETF,Nifty 100,245.80,245.80,239.36,238.63,240.50,1.87,0.78,3,136,0.08,238.37,247.55,231.75,-,-,-,-
PVTBANIETF,Nifty Private Bank Index,237.45,238.04,236.40,235.02,236.83,1.81,0.77,56,601,1.34,235.39,251.10,194.26,-,-,-,-
LICNFNHGP,Nifty 100,231.85,235.73,230.46,232.01,233.75,1.74,0.75,4,309,0.10,232.81,247.70,178.01,0.21,18-Jan-2023,19.42,19-Dec-2023
UTISENSETF,SENSEX,774.97,774.98,768.48,766.35,772.02,5.67,0.74,583,0.05,765.24,811.00,568.90,-0.39,18-Jan-2023,18.59,19-Dec-2023
FMCGIETF,Nifty FMCG Index,577.00,583.24,575.15,577.12,581.26,4.14,0.72,766,0.04,578.05,607.58,447.24,-,-,-,-
SBIETFIT,Nifty IT Index,387.63,394.68,387.63,387.23,390.00,2.77,0.72,3,631,0.14,387.40,399.95,276.25,3.82,18-Jan-2023,25.70,19-Dec-2023
AXISNIFTY,Nifty 50,235.30,235.30,230.51,230.73,232.40,1.67,0.72,3,028,0.07,230.43,240.35,179.30,0.12,18-Jan-2023,19.79,19-Dec-2023
AXISTECETF,NIFTY IT Index,384.88,389.32,384.88,384.88,387.60,2.72,0.71,528,0.02,385.02,396.40,274.64,3.56,18-Jan-2023,25.21,19-Dec-2023
SILVRETF,Mirae Asset Silver ETF,71.19,71.80,70.90,71.00,71.50,0.50,0.70,3,001,0.02,70.91,77.83,67.01,-3.39,-,-,19-Dec-2023
SBIETFCON,Nifty India Consumption Index,98.28,98.28,96.56,96.71,97.37,0.66,0.68,437,-,96.45,100.00,70.45,2.41,18-Jan-2023,27.13,19-Dec-2023
AUTOIETF,Nifty Auto Index,189.67,189.67,187.96,187.95,189.22,1.27,0.68,2,125,0.04,187.69,197.44,120.40,-,-,-,-
UTINIFTETF,Nifty 50,232.00,233.42,231.92,231.15,232.69,1.54,0.67,4,945,0.12,230.70,243.95,146.39,0.11,18-Jan-2023,-88.06,19-Dec-2023
AUTOBEES,Nifty Auto TRI,189.47,189.47,187.74,187.72,188.97,1.25,0.67,16,902,0.32,187.74,194.50,120.20,2.91,18-Jan-2023,45.22,19-Dec-2023
KOTAKIT,NIFTY IT Index,38.94,39.22,38.88,38.70,38.96,0.26,0.67,36,778,0.14,38.58,39.94,27.45,4.09,18-Jan-2023,26.31,19-Dec-2023
SETFNIFBK,Nifty Bank,464.00,467.99,462.71,462.62,465.66,3.04,0.66,16,159,0.75,462.00,493.30,388.50,-4.5,18-Jan-2023,8.35,19-Dec-2023
MOM50,Nifty 50,219.27,220.09,219.27,218.47,219.88,1.41,0.65,236,0.01,217.95,225.80,169.14,0.22,18-Jan-2023,20.03,19-Dec-2023
BANKBEES,Nifty Bank,469.99,474.99,468.50,466.59,469.47,2.88,0.62,5,60,696,26.39,465.95,495.00,391.71,-4.5,18-Jan-2023,8.51,19-Dec-2023
AXISBNKETF,Nifty Bank,466.82,469.59,466.50,464.68,467.54,2.86,0.62,861,0.04,463.89,495.98,389.79,-4.48,18-Jan-2023,8.62,19-Dec-2023
QNIFTY,Nifty 50,2,310.00,2,318.26,2,310.00,2,299.75,2,314.00,14.25,0.62,83,0.02,2,293.87,2,370.00,1,773.80,0.31,18-Jan-2023,19.53,19-Dec-2023
ITIETF,Nifty IT Index,38.70,39.34,38.70,38.73,38.97,0.24,0.62,1,97,939,0.77,38.74,39.96,27.25,-,-,-,-
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,32.31,33.15,32.31,32.79,32.99,0.20,0.61,5,410,0.02,32.75,33.68,21.11,5.57,18-Jan-2023,41.34,19-Dec-2023
GOLDETF,Mirae Asset Gold ETF,62.11,62.59,62.00,62.12,62.50,0.38,0.61,4,163,0.03,61.50,69.80,47.60,-0.06,-,-,19-Dec-2023
BANKETF,Mirae Asset Nifty Bank ETF,477.70,477.70,460.00,457.98,460.79,2.81,0.61,3,455,0.16,457.27,553.25,421.00,-4.4,-,-,19-Dec-2023
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,186.22,186.92,186.22,185.37,186.48,1.11,0.60,106,-,185.08,189.05,156.80,-,-,-,-
